"filename" "count" "list"
"46" "FetchConfiguration.java" 53 "51, 131, 132, 260, 614, 615, 622, 667, 905, 966, 975, 1006, 1007, 1123, 1124, 1151, 1330, 1331, 1333, 1335, 1418, 1520, 1593, 1640, 1741, 1845, 1846, 1967, 1968, 1992, 1993, 2211, 2212, 2427, 2429, 2765, 3105, 3106, 3186, 3187, 3285, 3286, 3290, 3291, 4397, 4517, 4518, 4720, 4912, 4934, 4955, 5073, 5681"
"47" "QueryImpl.java" 131 "53, 59, 75, 113, 148, 151, 203, 213, 350, 465, 478, 530, 548, 559, 626, 696, 713, 716, 719, 733, 735, 737, 751, 865, 939, 953, 1093, 1132, 1160, 1202, 1242, 1327, 1422, 1510, 1514, 1530, 1597, 1671, 1752, 1896, 1926, 1952, 1956, 2033, 2127, 2155, 2247, 2333, 2339, 2425, 2485, 2494, 2504, 2536, 2557, 2634, 2646, 2667, 2703, 2708, 2745, 2898, 2913, 3061, 3134, 3151, 3194, 3364, 3439, 3539, 3550, 3629, 3669, 3699, 3751, 3784, 3792, 3793, 3819, 3830, 3865, 3882, 3931, 3945, 4047, 4062, 4110, 4112, 4188, 4221, 4259, 4266, 4271, 4301, 4323, 4423, 4514, 4536, 4690, 4698, 4715, 4726, 4771, 4887, 4907, 5039, 5075, 5097, 5122, 5130, 5181, 5193, 5201, 5239, 5250, 5261, 5311, 5323, 5342, 5400, 5464, 5637, 5648, 5713, 5747, 5788, 5887, 5947, 5948, 5958, 5965"
"48" "PCEnhancer.java" 82 "54, 93, 109, 150, 167, 204, 285, 307, 372, 495, 528, 1085, 1159, 1240, 1354, 1380, 1503, 1540, 1542, 1564, 1715, 1725, 1903, 1917, 1982, 1989, 2049, 2087, 2163, 2173, 2225, 2448, 2707, 2822, 2973, 2993, 3078, 3086, 3090, 3108, 3165, 3171, 3261, 3342, 3351, 3448, 3516, 3643, 3696, 3740, 3814, 3941, 4024, 4033, 4142, 4180, 4316, 4405, 4429, 4701, 4739, 4762, 4902, 4920, 4929, 5065, 5111, 5148, 5255, 5339, 5369, 5386, 5410, 5426, 5438, 5578, 5719, 5803, 5840, 5858, 5935, 5946"
"49" "ConfigurationImpl.java" 159 "20, 40, 52, 55, 63, 74, 78, 125, 133, 154, 261, 304, 341, 352, 361, 455, 472, 567, 607, 616, 682, 707, 777, 780, 862, 906, 914, 925, 967, 976, 980, 1005, 1008, 1026, 1058, 1125, 1140, 1157, 1201, 1270, 1318, 1334, 1336, 1366, 1384, 1404, 1419, 1479, 1487, 1524, 1586, 1596, 1655, 1742, 1847, 1969, 1994, 2059, 2084, 2095, 2213, 2251, 2255, 2372, 2416, 2430, 2530, 2573, 2613, 2638, 2682, 2695, 2766, 2788, 2794, 2839, 2864, 2880, 2940, 2979, 3013, 3039, 3056, 3102, 3107, 3126, 3127, 3153, 3188, 3238, 3266, 3287, 3292, 3313, 3340, 3355, 3360, 3397, 3418, 3511, 3530, 3548, 3582, 3652, 3660, 3674, 3749, 3757, 3797, 3810, 3842, 3905, 3915, 3942, 4036, 4069, 4103, 4118, 4190, 4309, 4388, 4422, 4433, 4477, 4519, 4540, 4551, 4559, 4680, 4721, 4851, 4855, 4935, 4936, 4962, 5074, 5084, 5174, 5267, 5271, 5281, 5297, 5322, 5424, 5542, 5570, 5625, 5629, 5656, 5668, 5671, 5682, 5771, 5787, 5823, 5837, 5870, 5873, 5910"
"50" "CacheTest.java" 12 "56, 363, 533, 808, 1465, 1583, 1744, 1971, 2735, 3381, 5131, 5776"
"51" "RelationToManyInverseKeyFieldStrategy.java" 13 "57, 278, 648, 1197, 1436, 1819, 2445, 2541, 2715, 3118, 3208, 4643, 5081"
"52" "CollectionParam.java" 2 "58, 3354"
"53" "PreparedQueryImpl.java" 15 "59, 151, 953, 1327, 2557, 2667, 2745, 3792, 3945, 4514, 4726, 5181, 5464, 5948, 5958"
"54" "SQLBuffer.java" 24 "60, 208, 224, 340, 358, 544, 1016, 1477, 2179, 2273, 2466, 2592, 2600, 2668, 2944, 3369, 3906, 4134, 4596, 4874, 5186, 5781, 5949, 5994"
"55" "TestPreparedQueryCache.java" 22 "61, 209, 640, 884, 941, 954, 1328, 2180, 2493, 2529, 2558, 2746, 2899, 2945, 3152, 4135, 5187, 5621, 5888, 5931, 5950, 5960"
