"filename" "count" "list"
"72" "Aggregator.java" 395 "3, 42, 45, 47, 72, 131, 179, 271, 342, 505, 506, 507, 508, 509, 510, 642, 697, 729, 742, 789, 790, 1074, 1075, 1107, 1154, 1388, 1866, 1867, 1868, 1869, 1870, 1871, 1872, 1873, 1874, 1875, 1876, 1877, 1878, 1880, 1881, 1883, 2002, 2003, 2146, 2422, 2424, 2546, 2548, 2586, 2602, 2605, 2606, 2607, 2608, 2611, 2722, 2723, 2724, 2725, 2726, 2727, 2728, 2729, 2730, 2732, 2733, 2805, 3133, 3134, 3158, 3159, 3219, 3221, 3222, 3223, 3224, 3225, 3226, 3227, 3228, 3229, 3231, 3232, 3233, 3270, 3273, 3275, 3383, 3475, 3862, 3864, 3865, 3866, 3867, 3868, 3869, 3870, 3881, 3883, 3970, 4052, 4082, 4083, 4128, 4191, 4192, 4350, 4475, 4476, 4477, 4493, 4494, 4538, 4539, 4829, 4830, 4909, 4911, 4938, 5080, 5081, 5112, 5113, 5119, 5120, 5490, 5542, 5673, 5674, 5719, 5721, 5792, 5865, 5910, 5912, 5920, 5934, 6057, 6066, 6125, 6126, 6127, 6171, 6176, 6182, 6186, 6188, 6239, 6290, 6502, 6504, 6505, 6506, 6737, 6738, 6739, 6741, 6742, 6743, 6744, 6745, 6747, 6748, 6816, 6834, 6862, 6863, 7021, 7022, 7203, 7209, 7211, 7237, 7238, 7240, 7241, 7243, 7245, 7246, 7247, 7248, 7249, 7250, 7251, 7252, 7253, 7256, 7257, 7259, 7356, 7454, 7457, 7458, 7459, 7460, 7461, 7463, 7464, 7465, 7466, 7467, 7468, 7469, 7470, 7472, 7474, 7475, 7477, 7501, 7503, 7504, 7505, 7506, 7507, 7508, 7509, 7510, 7511, 7512, 7513, 7514, 7515, 7516, 7519, 7520, 7521, 7692, 7693, 7694, 7695, 7696, 7697, 7698, 7699, 7700, 7701, 7706, 7707, 7708, 7709, 7710, 7711, 7712, 7713, 7714, 7715, 7716, 7717, 7718, 7720, 7721, 7723, 7783, 7784, 8066, 8068, 8114, 8279, 8320, 8510, 8736, 8737, 8738, 8739, 8740, 8784, 8787, 8788, 8790, 8919, 8920, 8921, 9236, 9577, 9578, 9581, 9583, 9585, 9586, 9587, 9589, 9590, 9591, 9592, 9650, 9663, 9822, 9824, 9832, 9834, 9835, 9836, 9839, 9840, 9841, 9845, 9846, 9848, 9864, 9907, 10054, 10055, 10056, 10111, 10345, 10346, 10347, 10461, 10498, 10501, 10502, 10551, 10552, 10553, 10554, 10555, 10556, 10557, 10559, 10560, 10698, 10699, 10700, 10783, 10784, 10785, 10786, 10787, 10848, 10876, 10878, 10879, 10881, 10882, 10884, 10885, 10887, 10889, 10890, 10891, 10892, 10893, 10894, 10895, 10896, 10898, 10900, 10901, 10903, 11241, 11261, 11433, 11504, 11512, 11513, 11514, 11515, 11516, 11517, 11518, 11519, 11521, 11522, 11523, 11564, 11579, 11599, 11734, 11742, 11777, 11782, 11785, 11834, 11835, 11866, 11903, 11904, 11905, 11906, 11935, 12005, 12047, 12313, 12320, 12321, 12574, 12576, 12577, 12994, 12996, 13184, 13185, 13186, 13188"
"73" "DoubleTermsTests.java" 13 "73, 1038, 2430, 3738, 3949, 4838, 5606, 5923, 5939, 6873, 11489, 11944, 12765"
"74" "LongTermsTests.java" 13 "74, 1040, 2431, 3740, 3955, 4843, 5613, 5924, 5940, 6875, 11496, 11945, 12767"
"75" "StringTermsTests.java" 24 "75, 82, 251, 1041, 2157, 2433, 3384, 3742, 3963, 4195, 4430, 4848, 5143, 5618, 5793, 5873, 5928, 5948, 6039, 6876, 11233, 11501, 11946, 12769"
"76" "NettyTransport.java" 23 "77, 253, 266, 2022, 2173, 2853, 3294, 4445, 4864, 5301, 5348, 5776, 6944, 7094, 7678, 9080, 9988, 10374, 10690, 10956, 11357, 11387, 11873"
"77" "DynamicMappingTests.java" 5 "79, 369, 995, 2779, 4114"
"78" "InternalEngine.java" 66 "80, 787, 861, 914, 1422, 1672, 1714, 2035, 2159, 2271, 2299, 2366, 3179, 3437, 3587, 3700, 3778, 3933, 4020, 4067, 4347, 4479, 5426, 5480, 5649, 5664, 5671, 5715, 6048, 6076, 6274, 6397, 7573, 7748, 7868, 8008, 8081, 8313, 9031, 9477, 10134, 10141, 10265, 10649, 10650, 10771, 10818, 10922, 11140, 11162, 11250, 11342, 11371, 11592, 11806, 11810, 11891, 12068, 12241, 12263, 12378, 12702, 12801, 12893, 13042, 13195"
"79" "NoneGateway.java" 6 "81, 331, 1125, 3546, 7886, 11073"
"80" "RestSearchAction.java" 18 "83, 993, 1314, 1623, 2561, 3530, 4157, 5116, 5387, 5577, 5827, 5841, 6249, 7229, 8157, 10424, 10536, 11219"
"81" "PluginManager.java" 38 "84, 525, 628, 809, 858, 1004, 2478, 2887, 3195, 3398, 3426, 3498, 3581, 4277, 5501, 7095, 7152, 7383, 7665, 7808, 8160, 8205, 8606, 9254, 9313, 9322, 9417, 10434, 10602, 11004, 11020, 11281, 11444, 12246, 12296, 12771, 13002, 13206"
